record_id,list_name,outreach_purpose,list_source,outbound_status,workflow_notes
csf20260801-000001,csf_launch,onboarding,CSF Batch 01,planned,checkpoint 20260803 from sample export
csf20260801-000002,csf_launch,onboarding,CSF Batch 01,planned,checkpoint 20260803 from sample export
csf20260801-000003,csf_launch,verification,CSF Batch 01,planned,checkpoint 20260803 from sample export
csf20260801-000004,csf_launch,verification,CSF Batch 01,planned,checkpoint 20260803 from sample export
csf20260801-000005,csf_launch,follow_up,CSF Batch 01,planned,checkpoint 20260803 from sample export
csf20260801-000006,csf_launch,follow_up,CSF Batch 01,planned,checkpoint 20260803 from sample export
csf20260801-000007,csf_launch,onboarding,CSF Batch 01,planned,checkpoint 20260803 from sample export
csf20260801-000008,csf_launch,verification,CSF Batch 01,planned,checkpoint 20260803 from sample export
csf20260801-000009,csf_launch,follow_up,CSF Batch 01,planned,checkpoint 20260803 from sample export
csf20260801-000010,csf_launch,onboarding,CSF Batch 01,planned,checkpoint 20260803 from sample export
